name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Earl Andrew,GBR,1,4t4 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Fischhuber Kilian,AUT,2,4t5 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Preti Lucas,ITA,3,4t5 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Meyer Jérôme,FRA,4,4t5 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Core Christian,ITA,5,4t5 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
DU LAC Daniel,FRA,6,4t5 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Parry Gareth,GBR,7,4t6 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Caminati Michele,ITA,8,4t7 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Gaidioz Loïc,FRA,9,4t7 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Julien Stéphan,FRA,10,4t7 4b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Lama David,AUT,11,3t4 4b5,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Pouvreau Gérome,FRA,12,3t5 4b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Nomine Baptiste,FRA,13,3t7 4b16,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Badia Nicolas,FRA,14,2t2 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Mogaki Keita,JPN,15,2t7 3b10,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Hukkataival Nalle,FIN,16,1t1 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Croxall Mark,GBR,17,1t1 4b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Baumann Jonas,GER,18,1t2 3b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Ramsamy Joackym,FRA,19,1t2 3b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
Treuilhe Christophe,FRA,20,1t2 2b4,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Men,Semi-Final,2007-05-04,/api/v1/category_rounds/621/results,/api/v1/events/473/result/3
