name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Ansade Maud,FRA,1,6t6 6b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Hoarau Anne,FRA,1,6t6 6b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Seguy Audrey,GBR,1,6t6 6b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Rajfova Silvie,CZE,4,6t7 6b6,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Danion Juliette,FRA,5,6t7 6b7,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Graftiaux Chloé,BEL,5,6t7 6b7,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Ciret Colette,FRA,7,6t8 6b8,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Chevrier Anne-Laure,FRA,8,5t5 6b14,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Harmand Ludivine,FRA,9,5t6 6b7,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
Lind Angelica,SWE,10,4t5 6b7,IFSC Climbing Worldcup (B) - La Reunion (FRA) 2007,473,2007,La Reunion,Boulder,Women,Qualification,2007-05-04,/api/v1/category_rounds/617/results,/api/v1/events/473/result/7,2007-05-04_La Reunion_Boulder_Women_Qualification.csv
