name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Lama David,AUT,1,Top,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,Top
Verhoeven Jorg,NED,1,Top,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,Top
Mrázek Tomás,CZE,3,52,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,52
Julian  Puigblanque Ramón ,ESP,4,50,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,50
Usobiaga Lakunza Patxi,ESP,5,50-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,50-
Marin Garcia Eduard,ESP,6,49-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,49-
Lachat Cédric,SUI,7,48,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,48
Amma Sachi,JPN,8,46,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,46
Hirayama Yuji,JPN,9,45-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,45-
Dugit Fabien,FRA,10,44+,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,44+
Fuselier Michaël,FRA,11,42-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,42-
Stranik Martin,CZE,12,41+,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,41+
Millet Sylvain,FRA,13,41+,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,41+
Fischhuber Kilian,AUT,14,41,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,41
Zardini Luca,ITA,15,41,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,41
Bindhammer Christian,GER,16,39-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,39-
Desgranges Romain,FRA,17,39-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,39-
Lopez Mateos Eric ,ESP,18,38.5-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,38.5-
Ten Sijthoff Casper,NED,19,36,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,36
Midtboe Magnus,NOR,20,34-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,34-
Crespi Flavio,ITA,21,33-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,33-
Becan Klemen,SLO,22,33-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,33-
Guerimand Flavien,FRA,22,33-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,33-
Winkler Daniel,SUI,24,33-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,33-
Chernikov Mikhail,RUS,25,33-,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,33-
Romain Manuel,FRA,26,22.5,IFSC Climbing Worldcup (L) - Imst (AUT) 2007,474,2007,Imst,Lead,Men,Semi-Final,2007-05-11,/api/v1/category_rounds/627/results,/api/v1/events/474/result/1,22.5
