name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Fischhuber Kilian,AUT,1,4t13 4b13,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Hukkataival Nalle,FIN,2,4t19 4b18,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Matsushima Akito,JPN,3,3t5 4b7,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Sharafutdinov Dmitrii,RUS,4,3t7 3b7,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,5,2t8 4b12,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Verhoeven Jorg,NED,6,2t8 3b15,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Lachat Cédric,SUI,7,2t9 4b15,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Moroni Gabriele,ITA,8,2t10 3b10,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Chernikov Mikhail,RUS,9,2t10 3b16,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
Julien Stéphan,FRA,10,2t11 4b15,IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2007,475,2007,Grindelwald,Boulder,Men,Semi-Final,2007-06-08,/api/v1/category_rounds/633/results,/api/v1/events/475/result/3,2007-06-08_Grindelwald_Boulder_Men_Semi-Final.csv
