name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Eiter Angela,AUT,1,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Sarkany Muriel,BEL,1,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Kobayashi Yuka,JPN,1,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Anda Villanueva Irati,ESP,1,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Kim Jain,KOR,1,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Vidmar Maja,SLO,6,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Saurwein Katharina,AUT,7,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Gros Natalija,SLO,8,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Levet Sandrine,FRA,9,Top,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,Top
Durif Charlotte,FRA,10,49-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,49-
Noguchi Akiyo,JPN,11,48+,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,48+
Eyer Alexandra,SUI,12,48,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,48
Harrington Emily,USA,12,48,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,48
Shagina Liubov,RUS,14,48-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,48-
Bacher Barbara,AUT,15,47,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,47
Franko Lucka,SLO,16,47-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,47-
Huang Li-Ping,CHN,17,45+,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,45+
Lavarda Jenny,ITA,17,45+,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,45+
Markovic Mina,SLO,19,42,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,42
Caprez Nina,SUI,20,42-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,42-
Malamid Evgeniia,RUS,21,41,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,41
Schmid Christina,SUI,22,41-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,41-
Graftiaux Chloé,BEL,23,35-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,35-
Ciavaldini Caroline,FRA,24,20-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,20-
Chereshneva Yana,RUS,25,17-,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,481,2007,Aviles,Lead,Women,Semi-Final,2007-09-17,/api/v1/category_rounds/672/results,/api/v1/events/481/result/5,17-
