name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Lachat Cédric,SUI,1,41-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,41-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Verhoeven Jorg,NED,1,41-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,41-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Crespi Flavio,ITA,3,40+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,40+,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Kryukov Valeriy,UKR,4,39.5,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,39.5,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Schubert Jakob,AUT,5,39,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,39,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Mrázek Tomás,CZE,6,38-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,38-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Midtboe Magnus,NOR,7,38-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,38-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Becan Klemen,SLO,8,37.5,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,37.5,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Fuselier Michaël,FRA,9,37+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,37+,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Winkler Daniel,SUI,10,37,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,37,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Fischhuber Kilian,AUT,11,33-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,33-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Romain Manuel,FRA,12,31-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,31-,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
Millet Sylvain,FRA,13,30,IFSC Climbing Worldcup (L) - Kranj (SLO) 2007,486,2007,Kranj,Lead,Men,Semi-Final,2007-11-17,/api/v1/category_rounds/716/results,/api/v1/events/486/result/1,30,2007-11-17_Kranj_Lead_Men_Semi-Final.csv
