name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Escobar Manuel,VEN,1,15.110,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Styenkovyy Maksym,UKR,2,15.990,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Sinitcyn Sergei,RUS,3,16.580,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Vaitsekhovskii Evgenii,RUS,4,16.830,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Shaulskiy Alexandr,RUS,5,18.000,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Osipov Maksym,UKR,6,18.580,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Salimov Oleksandr,UKR,7,18.590,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
De Las Salas Leonel,VEN,8,18.620,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Hroza Libor,CZE,8,18.620,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Carvajal Nestor,VEN,10,18.660,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Oleksy Tomasz,POL,11,18.700,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Shulga Olexiy,UKR,12,18.910,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Kosterin Alexander,RUS,13,19.240,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Peshekhonov Alexander,RUS,14,19.310,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Komondi Csaba,HUN,15,19.420,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Shyshkovskyy Ivan,UKR,16,19.970,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
Swirk Lukasz,POL,17,20.100,IFSC Climbing Worldcup (S) - Trento (ITA) 2008,513,2008,Trento,Speed,Men,Qualification,2008-04-27,/api/v1/category_rounds/845/results,/api/v1/events/513/result/2,2008-04-27_Trento_Speed_Men_Qualification.csv
