name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Ernst Johanna,AUT,1,Top,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,Top,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Eiter Angela,AUT,1,Top,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,Top,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Kobayashi Yuka,JPN,1,Top,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,Top,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Ciavaldini Caroline,FRA,1,Top,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,Top,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Durif Charlotte,FRA,5,43,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,43,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Sarkany Muriel,BEL,5,43,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,43,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Markovic Mina,SLO,5,43,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,43,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Gros Natalija,SLO,8,42,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,42,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Bacher Barbara,AUT,9,42-,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,42-,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Thévenet Marine,FRA,10,38+,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,38+,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Eyer Alexandra,SUI,11,38,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,38,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Chereshneva Yana,RUS,12,37-,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,37-,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Malamid Evgeniia,RUS,12,37-,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,37-,2008-06-27_Qinghai_Lead_Women_Qualification.csv
schöpf Bettina,AUT,12,37-,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,37-,2008-06-27_Qinghai_Lead_Women_Qualification.csv
Tanaka Aki,JPN,12,37-,IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,518,2008,Qinghai,Lead,Women,Qualification,2008-06-27,/api/v1/category_rounds/871/results,/api/v1/events/518/result/5,37-,2008-06-27_Qinghai_Lead_Women_Qualification.csv
