name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Amma Sachi,JPN,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Ballet Thomas,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Barbero Alfonso Pablo ,ESP,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Becan Klemen,SLO,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Chernikov Mikhail,RUS,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Comina Fabien,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
De Boeck Jérôme,BEL,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Desgranges Romain,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Dugit Fabien,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Fuselier Michaël,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Guerimand Flavien,FRA,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Hojer Jan,GER,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Jubes Angarita Marco Antonio,ESP,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Kaurov Ivan,RUS,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Kryukov Valeriy,UKR,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Lachat Cédric,SUI,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Lama David,AUT,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Lechner Mario,AUT,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Lopez Mateos Eric ,ESP,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
McColl Sean,CAN,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Midtboe Magnus,NOR,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Mrázek Tomás,CZE,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Schubert Jakob,AUT,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Szekely Gabor,HUN,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Tauporn Thomas,GER,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Usobiaga Lakunza Patxi,ESP,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Verhoeven Jorg,NED,1,Top 1. | Top 1. [18.49],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,Top
Camargo Felipe,BRA,29,40 36. | Top 1. [26.51],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,40,Top
Neumärker Felix,GER,29,40 36. | Top 1. [26.51],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,40,Top
Romain Manuel,FRA,29,40 36. | Top 1. [26.51],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,40,Top
Watanabe Kazuma,JPN,32,Top 1. | 45+ 39. [26.66],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,45+
Sova Matej,SLO,33,40- 39. | Top 1. [27.22],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,40-,Top
Hlavacek Jakub,CZE,34,37+ 40. | Top 1. [27.57],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,37+,Top
Huerta Mauricio,MEX,35,Top 1. | 45 41. [27.66],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,45
Jaggi Martin,SUI,35,Top 1. | 45 41. [27.66],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,45
Gogol Mikhail,RUS,37,37 41. | Top 1. [28.08],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,37,Top
Zazulin Evgenii,RUS,37,37 41. | Top 1. [28.08],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,37,Top
Marsella Diego Martín,ARG,39,36- 43. | Top 1. [28.75],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,36-,Top
Danker Stefan,GER,40,Top 1. | 45- 45. [28.93],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,45-
Ito Hidekazu,JPN,40,Top 1. | 45- 45. [28.93],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,45-
Kim Jaha,KOR,42,Top 1. | 44- 49. [29.70],IFSC Climbing Worldcup (L) - Imst (AUT) 2008,523,2008,Imst,Lead,Men,Qualification,2008-09-19,/api/v1/category_rounds/910/results,/api/v1/events/523/result/1,Top,44-
