name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Becan Klemen,SLO,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Verhoeven Jorg,NED,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Usobiaga Lakunza Patxi,ESP,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Mrázek Tomás,CZE,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Schubert Jakob,AUT,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Lachat Cédric,SUI,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Amma Sachi,JPN,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Comina Fabien,FRA,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,Top,2008-11-15_Kranj_Lead_Men_Qualification.csv
Midtboe Magnus,NOR,9,40+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,40+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Millet Sylvain,FRA,10,40-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,40-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Julian  Puigblanque Ramón ,ESP,10,40-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,40-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Romain Manuel,FRA,10,40-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,40-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Kalina Alexander,RUS,13,38-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,38-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Shoprin Alexander,RUS,14,35-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,35-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Dugit Fabien,FRA,15,34+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Guerimand Flavien,FRA,16,34,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34,2008-11-15_Kranj_Lead_Men_Qualification.csv
Desgranges Romain,FRA,16,34,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34,2008-11-15_Kranj_Lead_Men_Qualification.csv
Kaurov Ivan,RUS,16,34,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34,2008-11-15_Kranj_Lead_Men_Qualification.csv
Culver Aurélien,FRA,19,34-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Bergasse Remy,FRA,19,34-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Hojer Jan,GER,19,34-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Zazulin Evgenii,RUS,19,34-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Sova Matej,SLO,19,34-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,34-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Ballet Thomas,FRA,24,33-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,33-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Min Hyunbin,KOR,24,33-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,33-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Becan Jure,SLO,26,32-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,32-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Kochetkov  Mikhail,RUS,27,30-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,30-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Stremfelj Anze,SLO,28,29-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,29-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Krastev Ivaylo,BUL,29,28-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,28-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Lechner Mario,AUT,30,27+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,27+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Ter-Minasyan Arman,RUS,30,27+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,27+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Zupan Izidor,SLO,30,27+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,27+,2008-11-15_Kranj_Lead_Men_Qualification.csv
De Boeck Jérôme,BEL,33,26,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,26,2008-11-15_Kranj_Lead_Men_Qualification.csv
Bunsch Piotr,POL,34,26-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,26-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Camargo Felipe,BRA,34,26-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,26-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Lazarov Blagovest,BUL,34,26-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,26-,2008-11-15_Kranj_Lead_Men_Qualification.csv
de Leeuw Nicky,NED,37,24,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,24,2008-11-15_Kranj_Lead_Men_Qualification.csv
Primozic Urban,SLO,38,24-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,24-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Cardwell Jon,USA,39,23+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Chernikov Mikhail,RUS,39,23+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Tauporn Thomas,GER,39,23+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Feistmantl Christian,AUT,42,23,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23,2008-11-15_Kranj_Lead_Men_Qualification.csv
Semenov Kirill,RUS,42,23,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23,2008-11-15_Kranj_Lead_Men_Qualification.csv
Tsunoda Hiroki,JPN,42,23,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23,2008-11-15_Kranj_Lead_Men_Qualification.csv
Högström Magnus,SWE,45,23-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Kryukov Valeriy,UKR,45,23-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Marsella Diego Martín,ARG,45,23-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Tak Timo,NED,45,23-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Ten Sijthoff Casper,NED,45,23-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,23-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Carlsson Erik,SWE,50,22.5+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22.5+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Reis Jürgen,AUT,50,22.5+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22.5+,2008-11-15_Kranj_Lead_Men_Qualification.csv
Roden Ryan,USA,52,22.5,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22.5,2008-11-15_Kranj_Lead_Men_Qualification.csv
Wszolek Marcin,POL,52,22.5,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22.5,2008-11-15_Kranj_Lead_Men_Qualification.csv
Zilinskiy Oleksandr,UKR,54,22,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22,2008-11-15_Kranj_Lead_Men_Qualification.csv
Conrad Mathias,GER,55,22-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Rant Blaz,SLO,55,22-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Skof Miha,SLO,55,22-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,22-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Szekely Gabor,HUN,58,21,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,21,2008-11-15_Kranj_Lead_Men_Qualification.csv
Olsen Eirik Birkelund,NOR,59,21-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,21-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Perunovic Luka,SRB,59,21-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,21-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Lagutin Vitalii,UKR,61,20,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,20,2008-11-15_Kranj_Lead_Men_Qualification.csv
Thorbjoernsen Kristoffer Kvamme,NOR,61,20,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,20,2008-11-15_Kranj_Lead_Men_Qualification.csv
González Diego Luis,MEX,63,17-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,17-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Corciovei Silviu,ROU,64,16,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,16,2008-11-15_Kranj_Lead_Men_Qualification.csv
Raimond Leusca,ROU,65,16-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,16-,2008-11-15_Kranj_Lead_Men_Qualification.csv
Petrescu Catalin,ROU,66,15,IFSC Climbing Worldcup (L) - Kranj (SLO) 2008,526,2008,Kranj,Lead,Men,Qualification,2008-11-15,/api/v1/category_rounds/936/results,/api/v1/events/526/result/1,15,2008-11-15_Kranj_Lead_Men_Qualification.csv
