name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Noguchi Akiyo,JPN,1,4t6 5b5,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,2,1,2,1,1,1,X,1
Kim Jain,KOR,2,4t7 5b9,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,3,3,1,1,X,2,1,1,2,2
Stöhr Anna,AUT,3,3t4 5b10,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,2,X,5,2,1,1,1
Lind Angelica,SWE,4,3t4 4b7,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,3,X,X,2,2,1,1
Ogawa Tomoko,JPN,5,3t6 4b7,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,1,X,X,4,4,1,1
Bacher Sabine,AUT,6,3t11 4b12,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,5,5,2,1,X,X,X,2,4,4
Gros Natalija,SLO,7,2t2 4b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,1,1,X,X,X,1,X,1
Chevrier Anne-Laure,FRA,8,2t2 4b6,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,2,X,X,X,2,1,1
Berry Samantha,AUS,9,2t2 3b3,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,1,X,X,X,X,1,1
Graftiaux Chloé,BEL,9,2t2 3b3,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,1,X,X,1,1
Ansade Maud,FRA,11,2t2 3b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,X,X,2,1,1
Bacher Barbara,AUT,11,2t2 3b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,2,X,X,X,X,1,1
Markovic Mina,SLO,11,2t2 3b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,2,X,X,X,X,1,1
Sandoz Mélanie,FRA,14,2t2 2b2,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,X,X,X,1,1
Abramchuk Yulia,RUS,15,2t3 4b8,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,4,X,X,X,1,2,2
Vidmar Katja,SLO,16,2t3 3b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,X,X,1,2,2
Chereshneva Yana,RUS,17,2t4 4b6,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,2,2,X,1,X,X,X,2,2,1
Le Neve Melissa,FRA,18,2t5 4b12,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,4,4,1,1,X,X,X,3,X,4
Kobayashi Yuka,JPN,19,1t1 3b5,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,X,X,2,X,2
Hagiwara Asaki,JPN,20,1t1 2b3,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,2,X,X,X,X,X,X
Merrick Diane,GBR,20,1t1 2b3,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,1,1,X,X,X,X,X,X,X,2
Takahashi Megumi,JPN,22,1t2 1b2,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,2,2,X,X,X,X,X,X,X,X
Zijlstra Vera,NED,23,1t3 2b6,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,3,3,X,X,X,X,X,X,X,3
Saurwein Katharina,AUT,24,1t5 3b7,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,5,5,X,X,X,X,X,1,X,1
Kim Hyojung,KOR,25,0t 1b1,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,1,X,X,X,X,X,X,X,X
LI Suet-Man,HKG,25,0t 1b1,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,X,X,X,X,X,X,X,X,1
Sakakibara Yuko,JPN,27,0t 1b2,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,2,X,X,X,X,X,X,X,X
Tonegi Mai,JPN,27,0t 1b2,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,2,X,X,X,X,X,X,X,X
Kubrakova  Natalia,RUS,29,0t 1b4,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,4,X,X,X,X,X,X,X,X
Ogawa Yayoi,JPN,30,0t 0b,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,X,X,X,X,X,X,X,X,X
PAN Xuhua,CHN,30,0t 0b,IFSC Climbing Worldcup (B) - Kazo (JPN) 2009,560,2009,Kazo,Boulder,Women,Qualification,2009-04-11,/api/v1/category_rounds/1119/results,/api/v1/events/560/result/7,X,X,X,X,X,X,X,X,X,X
