name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Fischhuber Kilian,AUT,1,5t5 5b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,1,1,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Lachat Cédric,SUI,1,5t7 5b7,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,1,1,3,3,2009-05-01_Hall_Boulder_Men_Qualification.csv
Moroni Gabriele,ITA,2,5t7 5b7,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,1,1,3,3,2009-05-01_Hall_Boulder_Men_Qualification.csv
Rubtsov  Aleksei,RUS,2,5t16 5b15,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,2,1,9,9,3,3,2009-05-01_Hall_Boulder_Men_Qualification.csv
Gelmanov Rustam,RUS,3,4t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,X,X,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Lama David,AUT,3,4t4 4b4,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,X,X,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Ondra Adam,CZE,3,5t9 5b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,5,5,1,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
Ennemoser Lukas,AUT,4,5t10 5b8,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,2,2,4,3,2,1,2009-05-01_Hall_Boulder_Men_Qualification.csv
McColl Sean,CAN,4,5t10 5b8,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,3,1,3,3,2,2,2009-05-01_Hall_Boulder_Men_Qualification.csv
Meral Julien,FRA,5,4t6 5b10,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Men,Qualification,2009-05-01,/api/v1/category_rounds/1136/results,/api/v1/events/563/result/3,1,1,1,1,1,1,3,3,X,4,2009-05-01_Hall_Boulder_Men_Qualification.csv
