name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Gros Natalija,SLO,1,3t6 4b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,2,2,3,1,X,5,1,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Ansade Maud,FRA,2,2t2 2b2,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,1,1,X,X,X,X,1,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Lind Angelica,SWE,3,2t3 3b7,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,2,1,X,X,X,5,1,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Abramchuk Yulia,RUS,4,2t3 2b3,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,2,2,X,X,X,X,1,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Gallyamova Anna,RUS,4,2t3 2b3,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,2,2,X,X,X,X,1,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Noguchi Akiyo,JPN,6,2t4 3b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,1,1,X,X,3,3,X,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Stöhr Anna,AUT,6,2t4 3b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,1,1,X,1,X,X,3,3,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Ernst Johanna,AUT,8,2t4 3b9,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,2,2,X,5,X,X,2,2,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Graftiaux Chloé,BEL,9,2t4 2b2,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,1,1,X,X,X,X,3,1,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
Saurwein Katharina,AUT,10,2t5 2b5,IFSC Climbing Worldcup (B) - Hall (AUT) 2009,563,2009,Hall,Boulder,Women,Semi-Final,2009-05-01,/api/v1/category_rounds/1134/results,/api/v1/events/563/result/7,1,1,X,X,X,X,4,4,2009-05-01_Hall_Boulder_Women_Semi-Final.csv
