name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Amma Sachi,JPN,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Desgranges Romain,FRA,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Kryukov Valeriy,UKR,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Lachat Cédric,SUI,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Lama David,AUT,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Lechner Mario,AUT,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
McColl Sean,CAN,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Midtboe Magnus,NOR,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Ondra Adam,CZE,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Romain Manuel,FRA,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Schubert Jakob,AUT,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Son Sangwon,KOR,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
Supper Gautier,FRA,1,Top 1. | Top 1. [12.71],"IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009",569,2009,Chamonix,Lead,Men,Qualification,2009-07-12,/api/v1/category_rounds/1182/results,/api/v1/events/569/result/1,Top,Top
