name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Stöhr Anna,AUT,1,4t5 4b5,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,2,2,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Noguchi Akiyo,JPN,2,4t6 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,3,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Oda Momoka,JPN,3,4t6 4b5,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,2,2,2,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Kim Jain,KOR,4,4t8 4b5,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,2,2,4,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Graftiaux Chloé,BEL,5,3t3 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Johnson Alex,USA,5,3t3 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Gros Natalija,SLO,7,3t3 4b5,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,2,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Bibik Olga,RUS,8,3t4 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,2,1,1,1,X,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Le Neve Melissa,FRA,9,3t7 4b6,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,2,2,1,1,X,1,4,2,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Wurm Juliane,GER,10,3t7 4b7,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,3,5,2,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Avezou Cecile,FRA,11,2t2 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,1,X,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Markovic Mina,SLO,11,2t2 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,1,1,1,X,1,1,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Shalagina Olga,UKR,11,2t2 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,1,1,1,1,X,1,X,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Abramchuk Yulia,RUS,14,2t3 4b4,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,1,1,1,X,1,2,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Gallyamova Anna,RUS,15,2t3 4b5,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,1,2,2,1,1,X,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Carpenter Thirza,CAN,16,2t3 4b6,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,2,1,1,1,X,1,X,3,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Ansade Maud,FRA,17,2t3 4b7,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,3,1,1,X,2,2,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Balakireva Alexandra,RUS,18,1t1 4b6,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,2,1,1,X,1,X,2,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Eyer Alexandra,SUI,19,1t3 4b6,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,2,X,2,X,1,3,1,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Vidmar Katja,SLO,20,0t 4b7,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,2,X,2,X,1,X,2,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
Berry Samantha,AUS,21,0t 3b3,IFSC Climbing Worldcup (B) - Wien (AUT) 2010,610,2010,Wien,Boulder,Women,Semi-Final,2010-05-28,/api/v1/category_rounds/1366/results,/api/v1/events/610/result/7,X,1,X,1,X,1,X,X,2010-05-28_Wien_Boulder_Women_Semi-Final.csv
