name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Stöhr Anna,AUT,1,5t6 5b5,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,2,1,1,1,1,1,1,1
Puccio Alex,USA,2,5t11 5b11,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,6,6,1,1,1,1,2,2
Johnson Alex,USA,3,4t4 5b5,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,1,1,X,1,1,1,1,1
Avezou Cecile,FRA,4,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,1,1,1,1,1
Le Neve Melissa,FRA,4,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,1,1,1,1,1
Noguchi Akiyo,JPN,4,3t3 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,1,1,1,1,1
Graftiaux Chloé,BEL,7,3t4 5b7,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,2,2,X,2,1,1,X,1
Chevrier Anne-Laure,FRA,8,3t6 5b5,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,2,1,X,1,X,1,3,1
Ansade Maud,FRA,9,3t6 4b7,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,2,X,X,3,3,2,1
Ernst Johanna,AUT,9,3t6 4b7,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,4,4,X,X,1,1,X,1
Wurm Juliane,GER,11,3t8 4b9,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,6,6,X,X,X,1,1,1
Metcalf Francesca,USA,12,2t2 4b4,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,1,X,1,1,1
Gawrych Audrey,USA,13,2t2 3b3,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,X,X,1,1,1
Sandoz Mélanie,FRA,14,2t3 4b6,IFSC Climbing Worldcup (B) - Vail (USA) 2010,611,2010,Vail,Boulder,Women,Qualification,2010-06-04,/api/v1/category_rounds/1371/results,/api/v1/events/611/result/7,1,1,X,X,X,3,X,1,2,1
