name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Johnson Alex,USA,1,5t5 5b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,1,1,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Le Neve Melissa,FRA,1,5t5 5b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,1,1,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Wurm Juliane,GER,1,5t5 5b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,1,1,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Graftiaux Chloé,BEL,4,5t6 5b6,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,2,2,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,5,5t7 5b7,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,3,3,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Stöhr Anna,AUT,6,5t8 5b7,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,2,2,1,1,2,1,2,2,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Kim Jain,KOR,7,5t8 5b8,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,4,4,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Balakireva Alexandra,RUS,8,5t9 5b9,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,5,5,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Gros Natalija,SLO,9,5t10 5b7,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,4,2,1,1,2,2,2,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Bacher Barbara,AUT,10,5t10 5b8,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,4,4,1,1,3,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Saurwein Katharina,AUT,11,4t4 5b5,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,1,1,1,1,X,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Bibik Olga,RUS,12,4t4 4b4,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,X,X,1,1,1,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Nilwik Rachel,NED,12,4t4 4b4,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,1,1,1,1,X,X,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
Ansade Maud,FRA,14,4t5 5b6,IFSC Climbing Worldcup (B) - Eindhoven (NED) 2010,613,2010,Eindhoven,Boulder,Women,Qualification,2010-06-25,/api/v1/category_rounds/1387/results,/api/v1/events/613/result/7,1,1,2,2,1,1,X,1,1,1,2010-06-25_Eindhoven_Boulder_Women_Qualification.csv
