name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Ropek Edyta,POL,1,23.440,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Morandi Sara,ITA,2,23.870,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
BUD Gusaim Oleksandra,UKR,3,24.830,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Ryepko Olena,UKR,4,26.500,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Savisko Anastasiya,UKR,5,26.600,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Gaidamakina Alina,RUS,6,26.980,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Levochkina  Yuliya,RUS,7,28.270,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Buczek Klaudia,POL,8,28.370,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Krasavina Mariia,RUS,9,28.570,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Yurina Valentina,RUS,10,29.510,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Polekhina Kseniya,RUS,11,30.000,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Prokopiuk Monika,POL,12,34.870,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Rodriguez Francis,VEN,13,42.110,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
Blanco Lucelia,VEN,14,42.500,IFSC Climbing Worldcup (S) - Daone (ITA) 2010,616,2010,Daone,Speed,Women,Qualification,2010-07-24,/api/v1/category_rounds/1408/results,/api/v1/events/616/result/6
