name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Stöhr Anna,AUT,1,4t8 4b7,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,1,1,2,1,2,2,3,3
Noguchi Akiyo,JPN,2,4t12 4b12,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,8,8,1,1,2,2,1,1
Abramchuk Yulia,RUS,3,3t5 4b6,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,1,1,X,1,1,1,3,3
Gros Natalija,SLO,4,3t5 3b4,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,X,2,1,1,1,2,2
Markovic Mina,SLO,5,3t10 3b10,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,6,6,3,3,1,1,X,X
Gallyamova Anna,RUS,6,3t11 3b9,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,4,4,5,4,2,1,X,X
Wurm Juliane,GER,7,2t3 3b4,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,2,2,X,1,1,1,X,X
Lavarda Jenny,ITA,8,2t7 2b7,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,5,5,X,X,2,2,X,X
Saurwein Katharina,AUT,9,1t1 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,1,1,X,X,X,1,X,X
Ladurner Alexandra,ITA,10,1t1 2b3,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,1,1,X,2,X,X,X,X
Klingler Petra,SUI,11,1t2 3b6,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,2,1,X,1,X,4,X,X
Chevrier Anne-Laure,FRA,12,1t3 2b5,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,4,3,1,X,X,X,X
Graftiaux Chloé,BEL,13,1t4 4b9,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,4,4,2,X,1,X,2
Johnson Alex,USA,14,0t 4b7,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,1,X,3,X,1,X,2
Sandoz Mélanie,FRA,15,0t 3b6,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,2,X,2,X,2,X,X
Balakireva Alexandra,RUS,16,0t 1b2,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,X,X,2,X,X,X,X
Avezou Cecile,FRA,17,0t 1b6,IFSC Climbing Worldcup (B) - Munich (GER) 2010,617,2010,Munich,Boulder,Women,Semi-Final,2010-07-30,/api/v1/category_rounds/1413/results,/api/v1/events/617/result/7,X,6,X,X,X,X,X,X
