name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Markovic Mina,SLO,1,60-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,60-,2010-08-20_Xining_Lead_Women_Qualification.csv
Kim Jain,KOR,2,59+,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,59+,2010-08-20_Xining_Lead_Women_Qualification.csv
Ciavaldini Caroline,FRA,3,54+,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54+,2010-08-20_Xining_Lead_Women_Qualification.csv
Gros Natalija,SLO,3,54+,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54+,2010-08-20_Xining_Lead_Women_Qualification.csv
Noguchi Akiyo,JPN,5,54,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54,2010-08-20_Xining_Lead_Women_Qualification.csv
Kobayashi Yuka,JPN,6,54-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54-,2010-08-20_Xining_Lead_Women_Qualification.csv
Eiter Angela,AUT,6,54-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54-,2010-08-20_Xining_Lead_Women_Qualification.csv
Eyer Alexandra,SUI,6,54-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54-,2010-08-20_Xining_Lead_Women_Qualification.csv
Janicot Hélène,FRA,6,54-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54-,2010-08-20_Xining_Lead_Women_Qualification.csv
Sarkany Muriel,BEL,6,54-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,54-,2010-08-20_Xining_Lead_Women_Qualification.csv
Oda Momoka,JPN,11,50,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,50,2010-08-20_Xining_Lead_Women_Qualification.csv
Dufraisse Alizée,FRA,12,50-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,50-,2010-08-20_Xining_Lead_Women_Qualification.csv
Durif Charlotte,FRA,12,50-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,50-,2010-08-20_Xining_Lead_Women_Qualification.csv
Vidmar Maja,SLO,12,50-,"IFSC Climbing Worldcup (L, S) - Xining (CHN) 2010",618,2010,Xining,Lead,Women,Qualification,2010-08-20,/api/v1/category_rounds/1418/results,/api/v1/events/618/result/5,50-,2010-08-20_Xining_Lead_Women_Qualification.csv
