name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Kim Jain,KOR,1,Top,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,Top,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Eiter Angela,AUT,2,47+,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,47+,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Chereshneva Yana,RUS,3,46-,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,46-,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Sarkany Muriel,BEL,4,46-,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,46-,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Vidmar Maja,SLO,5,46-,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,46-,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Markovic Mina,SLO,6,45,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,45,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Gros Natalija,SLO,7,44-,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,44-,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Ciavaldini Caroline,FRA,8,42,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,42,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Noguchi Akiyo,JPN,9,41+,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,41+,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Oda Momoka,JPN,9,41+,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,41+,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Schranz Christine,AUT,11,41+,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,41+,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Eyer Alexandra,SUI,12,41+,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,41+,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
Durif Charlotte,FRA,13,41-,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5,41-,2010-08-28_Chuncheon_Lead_Women_Semi-Final.csv
