name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Julian  Puigblanque Ramón ,ESP,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,Top
Ondra Adam,CZE,1,Top,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,Top
Supper Gautier,FRA,3,35,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,35
Schubert Jakob,AUT,4,32,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,32
Romain Manuel,FRA,5,31,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,31
Becan Klemen,SLO,6,28+,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,28+
Tauporn Thomas,GER,7,28-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,28-
Verhoeven Jorg,NED,8,27,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,27
Raztresen Jure,SLO,9,27-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,27-
Desgranges Romain,FRA,10,26-,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1,26-
