name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Puccio Alex,USA,1,3t3 4b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,1,1,1,1,1
Noguchi Akiyo,JPN,2,3t4 4b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,1,2,1,1,1
Wurm Juliane,GER,3,2t2 4b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,1,X,1,1,1
Le Neve Melissa,FRA,4,2t2 4b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,1,X,1,1,1
Saurwein Katharina,AUT,5,2t2 4b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,1,X,1,1,1
Stöhr Anna,AUT,6,2t2 4b5,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,1,X,2,1,1,1,1
Merrick Diane,GBR,7,2t4 3b3,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,2,1,X,X,2,1,X,1
Coxsey Shauna,GBR,8,2t6 4b8,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,3,2,X,4,X,1,3,1
Sandoz Mélanie,FRA,9,1t1 4b5,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,2,X,1,X,1,1,1
Leslie-Wujastyk Mina,GBR,10,1t1 2b3,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,1,1,X,X,X,2,X,X
Crane Leah,GBR,11,1t2 3b5,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,2,1,X,1,X,3,X,X
Johnson Alex,USA,12,0t 4b6,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,1,X,1,X,1,X,3
Retschy Monika,GER,13,0t 4b7,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,2,X,1,X,2,X,2
Avezou Cecile,FRA,14,0t 4b10,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,1,X,3,X,4,X,2
Lavarda Jenny,ITA,15,0t 3b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,2,X,1,X,1,X,X
Whittaker Katy,GBR,16,0t 3b7,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,1,X,3,X,3,X,X
Chevrier Anne-Laure,FRA,17,0t 2b4,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,X,X,2,X,2,X,X
Bacher Sabine,AUT,18,0t 2b5,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,X,X,4,X,1,X,X
Zijlstra Vera,NED,19,0t 1b2,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,X,X,X,X,2,X,X
Peet Gill,GBR,20,0t 1b2,IFSC Climbing Worldcup (B) - Sheffield (GBR) 2011,673,2011,Sheffield,Boulder,Women,Semi-Final,2011-07-02,/api/v1/category_rounds/1680/results,/api/v1/events/673/result/7,X,2,X,X,X,X,X,X
