name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Rudzinska Aleksandra,POL,1,9.130,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Levochkina  Yuliya,RUS,2,9.610,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Heitz Margot,FRA,3,9.810,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Ropek Edyta,POL,4,9.850,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Tsyganova Anna,RUS,5,10.040,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Alekseeva Kseniia,RUS,6,10.080,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Jaubert Anouck,FRA,7,10.090,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Krasavina Mariia,RUS,7,10.090,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Titova Natalia,RUS,9,10.180,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Bruckner Esther,FRA,10,10.300,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Gaidamakina Alina,RUS,11,10.400,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Blanco Lucelia,VEN,12,10.410,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Polekhina Kseniya,RUS,13,10.790,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
He CuiLian,CHN,14,10.860,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Novitskaia Ekaterina,RUS,15,10.890,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Ryepko Olena,UKR,16,10.930,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Savisko Anastasiya,UKR,16,10.930,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Buczek Klaudia,POL,18,11.100,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Prokopiuk Monika,POL,19,11.150,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
BUD Gusaim Oleksandra,UKR,20,11.160,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Morandi Sara,ITA,21,11.170,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Vaytsekhovskaya Yulia,RUS,22,11.180,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Stepanova Nataliia,RUS,23,11.250,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Kuznetsova Tamara,KAZ,24,11.260,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Yurina Valentina,RUS,25,11.400,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Fakhritdinova Dinara,RUS,26,11.550,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
Michelard Julie,FRA,27,11.650,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
PAN Xuhua,CHN,28,11.750,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011",674,2011,Chamonix,Speed,Women,Qualification,2011-07-12,/api/v1/category_rounds/1688/results,/api/v1/events/674/result/6,2011-07-12_Chamonix_Speed_Women_Qualification.csv
