name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2
Lachat Cédric,SUI,1,Top 1. | Top 1. [2.74],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,Top,Top
Lechner Mario,AUT,1,Top 1. | Top 1. [2.74],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,Top,Top
Schubert Jakob,AUT,1,Top 1. | Top 1. [2.74],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,Top,Top
Ondra Adam,CZE,4,39- 7. | Top 1. [4.18],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,39-,Top
Min Hyunbin,KOR,5,Top 1. | 43+ 6. [4.24],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,Top,43+
Verhoeven Jorg,NED,6,Top 1. | 42+ 7. [4.58],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,Top,42+
Romain Manuel,FRA,7,39 6. | 44 5. [5.48],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,39,44
Tauporn Thomas,GER,8,36- 8. | 39 14. [10.58],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,36-,39
Marin Garcia Eduard,ESP,9,30- 12. | 42- 8. [11.53],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,30-,42-
Rekabi Davoud,IRI,9,30- 12. | 42- 8. [11.53],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,30-,42-
Sova Matej,SLO,11,34- 9. | 39- 15. [11.62],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,34-,39-
Ischia Martino,ITA,12,29+ 17. | 42- 8. [13.26],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,29+,42-
Mardashov Anton,UKR,13,33- 10. | 35- 20. [14.49],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,33-,35-
Watanabe Kazuma,JPN,14,33- 10. | 31- 21. [14.85],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,33-,31-
Bombardi Marcello,ITA,15,29+ 17. | 40+ 13. [15.51],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,29+,40+
Esteller Ocaña Victor,ESP,16,24- 27. | 42- 8. [16.16],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,24-,42-
Becan Klemen,SLO,17,29- 21. | 41- 12. [16.25],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,29-,41-
Shalagin Mykhaylo,UKR,18,30- 12. | 37- 19. [16.31],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,30-,37-
Park Jihwan,KOR,19,29+ 17. | 38 16. [17.20],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,29+,38
Dzyubyak Yuriy,UKR,20,29+ 17. | 38- 17. [17.99],IFSC World Championship Lead Group B - Arco 2011,677,2011,Arco Group B,Lead,Men,Qualification,2011-07-20,/api/v1/category_rounds/1714/results,/api/v1/events/677/result/1,29+,38-
