name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Krasavina Mariia,,1,8.89,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,12.16,True,9.6,True,8.87,True,8.89,,
Alekseeva Kseniia,,2,13.09,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,10.22,True,9.6,True,9.79,False,13.09,,
Levochkina  Yuliya,,3,9.42,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,9.6,True,9.59,False,9.7,,,True,9.42
Neliwati Evi,,4,10.13,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,10.35,True,9.88,False,11.19,,,False,10.13
He CuiLian,,5,9.68,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,10.51,False,9.68,,,,,,
Ropek Edyta,,6,9.72,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,9.95,False,9.72,,,,,,
Gaidamakina Alina,,7,9.92,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,10.07,False,9.92,,,,,,
Lee Hung Ying,,8,FALL,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,True,11.62,False,FALL,,,,,,
Ulzhabayeva Tamara,,9,10.60,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,10.6,,,,,,,,
PAN Xuhua,,10,10.76,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,10.76,,,,,,,,
wang yang,,11,10.92,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,10.92,,,,,,,,
RenZeng WangMu,,12,11.42,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,11.42,,,,,,,,
RENQING LaMu,,13,11.78,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,11.78,,,,,,,,
Tsyganova Anna,,14,12.13,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,12.13,,,,,,,,
gesang wangmu,,15,12.29,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,12.29,,,,,,,,
Tita Supita,,16,13.77,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2011",681,2011,Xining,Speed,Women,Final,2011-09-02,/api/v1/category_rounds/1735/results,/api/v1/events/681/result/6,False,13.77,,,,,,,,
