name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Amma Sachi,JPN,1,Top 1. | Top 1. [3.97],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
Ballet Thomas,FRA,1,Top 1. | Top 1. [3.97],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
McColl Sean,CAN,1,Top 1. | Top 1. [3.97],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
Romain Manuel,FRA,1,Top 1. | Top 1. [3.97],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
Schubert Jakob,AUT,1,Top 1. | Top 1. [3.97],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
Skofic Domen,SLO,6,Top 1. | 36- 7. [5.61],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,36-,2011-10-28_Valence_Lead_Men_Qualification.csv
Supper Gautier,FRA,7,Top 1. | 35 8. [6.36],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,35,2011-10-28_Valence_Lead_Men_Qualification.csv
Julian  Puigblanque Ramón ,ESP,8,24 14. | Top 1. [7.12],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,24,Top,2011-10-28_Valence_Lead_Men_Qualification.csv
Lechner Mario,AUT,9,Top 1. | 32 11. [7.35],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,Top,32,2011-10-28_Valence_Lead_Men_Qualification.csv
Tauporn Thomas,GER,10,34- 9. | 35 8. [9.00],IFSC Climbing Worldcup (L) - Valence (FRA) 2011,686,2011,Valence,Lead,Men,Qualification,2011-10-28,/api/v1/category_rounds/1772/results,/api/v1/events/686/result/1,34-,35,2011-10-28_Valence_Lead_Men_Qualification.csv
