name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Gelmanov Rustam,RUS,1,4t4 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,1,1,1,1,1,1,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,2,3t3 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,1,1,1,1,1,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Amma Sachi,JPN,3,3t7 3b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,2,1,4,4,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Rubtsov  Aleksei,RUS,4,2t2 2b2,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,1,1,X,X,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Kim Jabee,KOR,5,2t3 2b2,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,2,1,X,X,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,6,2t4 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,3,X,1,3,1,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Caleyron Thomas,FRA,7,2t4 2b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,X,X,3,3,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Baumann Jonas,GER,8,2t5 2b3,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,4,2,X,X,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Hori Tsukuru,JPN,9,2t6 3b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,X,1,5,5,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Danker Stefan,GER,10,1t1 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,2,X,1,X,2,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Sugimoto Rei,JPN,11,1t1 4b10,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,7,X,1,X,1,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
de Leeuw Nicky,NED,12,1t1 3b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,1,X,2,X,X,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
Sharafutdinov Dmitrii,RUS,13,1t1 2b2,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2012",727,2012,Chongqing,Boulder,Men,Semi-Final,2012-04-13,/api/v1/category_rounds/2047/results,/api/v1/events/727/result/3,1,1,X,X,X,1,X,X,2012-04-13_Chongqing_Boulder_Men_Semi-Final.csv
