name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Bonder Jeremy,FRA,1,5t9 5b9,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,1,1,5,5,1,1
Sharafutdinov Dmitrii,RUS,1,4t4 5b5,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,1,1,X,1,1,1
Gaidioz Loïc,FRA,2,4t4 5b6,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,1,1,X,2,1,1
Haiko Jan,AUT,2,5t20 5b16,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,2,2,6,5,7,4,4,4,1,1
Caleyron Thomas,FRA,3,4t6 4b4,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,3,1,X,X,1,1
Gelmanov Rustam,RUS,3,4t5 5b5,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,X,1,2,1,1,1
Farcy Nicolas,BEL,4,3t3 3b3,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,X,X,1,1,X,X,1,1
Glairon Mondet Guillaume,FRA,4,3t3 3b3,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,X,X,1,1,X,X,1,1
Sanchez González Ignacio,ESP,4,3t3 3b3,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,X,X,1,1,X,X,1,1
Sugimoto Rei,JPN,4,4t5 5b6,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,X,1,2,2,1,1
Verhoeven Jorg,NED,4,3t3 3b3,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,X,X,1,1,X,X,1,1
McColl Sean,CAN,5,4t5 5b7,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,X,3,2,1,1,1
Ennemoser Lukas,AUT,6,4t5 5b12,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,X,7,2,2,1,1
Fischhuber Kilian,AUT,7,4t7 5b9,IFSC Climbing Worldcup (B) - Vienna (AUT) 2012,729,2012,Vienna,Boulder,Men,Qualification,2012-04-27,/api/v1/category_rounds/2060/results,/api/v1/events/729/result/3,1,1,1,1,X,2,4,4,1,1
