name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Gontaryk Yaroslav,,1,12.98,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,14.31,True,12.69,True,13.7,True,12.98,,,2012-07-28_Daone_Speed_Men_Final.csv
Vaitsekhovskii Evgenii,,2,FALL,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,15.3,True,14.07,True,16.059,False,FALL,,,2012-07-28_Daone_Speed_Men_Final.csv
Sinitcyn Sergei,,3,16.16,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,15.68,True,14.52,False,FALL,,,True,16.16,2012-07-28_Daone_Speed_Men_Final.csv
Vedenchuk Viacheslav,,4,20.81,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,15.76,True,15.68,False,16.02,,,False,20.81,2012-07-28_Daone_Speed_Men_Final.csv
Kokorin Stanislav,,5,13.52,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,13.5,False,13.52,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Sirotti Michel,,6,16.35,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,22.0,False,16.35,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Hroza Libor,,7,17.62,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,17.04,False,17.62,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Abdrakhmanov Sergey,,8,FALL,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,True,13.38,False,FALL,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Shevchenko Arsenii,,9,15.89,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,15.89,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Komosinski Jedrzej,,10,16.84,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,16.84,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Gontero Leonardo,,11,17.13,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,17.13,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Sirotti Gianluca,,12,17.17,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,17.17,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Sikora Paweł,,13,21.63,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,21.63,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Kriz Jan,,14,22.09,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,22.09,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Swirk Lukasz,,15,FALL,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,FALL,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
Boldyrev Danyil,,16,FALL,IFSC Climbing Worldcup (S) - Val Daone (ITA) 2012,734,2012,Daone,Speed,Men,Final,2012-07-28,/api/v1/category_rounds/2094/results,/api/v1/events/734/result/2,False,FALL,,,,,,,,,2012-07-28_Daone_Speed_Men_Final.csv
