name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Julian  Puigblanque Ramón ,ESP,1,44+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,44+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Schubert Jakob,AUT,2,44,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,44,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Lachat Cédric,SUI,3,43+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,43+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Verhoeven Jorg,NED,4,43+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,43+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Amma Sachi,JPN,5,42+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,42+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Midtboe Magnus,NOR,6,41,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,41,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Desgranges Romain,FRA,6,41,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,41,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Tauporn Thomas,GER,8,40+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,40+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Romain Manuel,FRA,9,38+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,38+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Min Hyunbin,KOR,10,38+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,38+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
Chernikov Mikhail,RUS,11,37+,IFSC Climbing Worldcup (L) - Imst (AUT) 2012,735,2012,Imst,Lead,Men,Semi-Final,2012-08-10,/api/v1/category_rounds/2099/results,/api/v1/events/735/result/1,37+,2012-08-10_Imst_Lead_Men_Semi-Final.csv
