name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Gaidamakina Alina,,1,9.04,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,10.12,True,9.47,True,9.11,True,9.04,,,2012-09-01_Arco_Speed_Women_Final.csv
Levochkina  Yuliya,,2,9.70,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,10.62,True,9.69,True,9.77,False,9.7,,,2012-09-01_Arco_Speed_Women_Final.csv
Titova Natalia,,3,8.96,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,9.56,True,9.36,False,FALL,,,True,8.96,2012-09-01_Arco_Speed_Women_Final.csv
Polekhina Kseniya,,4,8.99,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,10.34,True,9.86,False,9.34,,,False,8.99,2012-09-01_Arco_Speed_Women_Final.csv
Prokopiuk-Kawecka Monika,,5,9.85,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,9.9,False,9.85,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Krasavina Mariia,,6,9.90,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,9.53,False,9.9,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Pichler Stefanie,,7,10.07,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,10.51,False,10.07,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Heitz Margot,,8,10.75,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,True,11.53,False,10.75,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Ustimenko Mariya,,9,13.22,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,13.22,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Rojas Andrea,,10,13.48,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,13.48,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Correa Sofia,,11,15.77,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,15.77,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Ropek Edyta,,12,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Savisko Anastasiya,,13,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Buczek Klaudia,,14,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Boyko Mariya,,15,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
Korcova Lucia,,16,FALL,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6,False,FALL,,,,,,,,,2012-09-01_Arco_Speed_Women_Final.csv
