name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Hroza Libor,CZE,1,6.000,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Zhong QiXin,CHN,2,6.100,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Abdrakhmanov Sergey,RUS,3,6.400,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Boldyrev Danyil,UKR,4,6.500,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Dzienski Marcin,POL,4,6.500,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Gontero Leonardo,ITA,4,6.500,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Vaitsekhovskii Evgenii,RUS,4,6.500,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Shevchenko Arsenii,RUS,8,6.600,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
"Choo Weng Khit, Adriel",SGP,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Escobar Manuel,VEN,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Gontaryk Yaroslav,UKR,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Sinitcyn Sergei,RUS,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Timofeev Dmitrii,RUS,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Yurko Oleksiy,UKR,9,6.700,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Kokorin Stanislav,RUS,15,6.800,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Swirk Lukasz,POL,15,6.800,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Mawem Bassa,FRA,17,6.900,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Zhong Lincai,CHN,17,6.900,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Jaelolo Aspar,INA,19,7.000,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Barkovskyy Sergiy,UKR,19,7.000,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Bokanov Sayat,KAZ,19,7.000,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Estevez  Isaac,ECU,22,7.100,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Zinchenko Volodymyr,UKR,22,7.100,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
Kytaiko Andrii,UKR,24,7.400,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Speed,Men,Qualification,2012-09-12,/api/v1/category_rounds/2125/results,/api/v1/events/738/result/2
