name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Durif Charlotte,FRA,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Janicot Hélène,FRA,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Markovic Mina,SLO,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Vidmar Maja,SLO,1,Top 1. | Top 1. [3.50],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Posch Katharina,AUT,5,48+ 8. | Top 1. [5.45],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,48+,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Kim Jain,KOR,6,Top 1. | 53 10. [6.06],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,53,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Fakhritdinova Dinara,RUS,7,Top 1. | 47 16. [7.60],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,Top,47,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Ernst Johanna,AUT,8,48+ 8. | 53+ 7. [8.25],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,48+,53+,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Malamid Evgeniia,RUS,9,34+ 17. | Top 1. [8.37],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,34+,Top,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Kobayashi Yuka,JPN,10,44+ 10. | 53+ 7. [9.17],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,44+,53+,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Söderlund Matilda,SWE,10,49 7. | 52+ 12. [9.17],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,49,52+,2012-09-29_Atlanta_Lead_Women_Qualification.csv
van Bergen Nikki,NED,12,44+ 10. | 53 10. [10.50],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,44+,53,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Röck Magdalena,AUT,13,34+ 17. | 53+ 7. [12.65],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,34+,53+,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Lavarda Jenny,ITA,14,41 12. | 48 15. [13.42],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,41,48,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Brumagne Mathilde,BEL,15,38 16. | 52 13. [14.70],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,38,52,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Schranz Christine,AUT,16,38+ 13. | 47 16. [15.20],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,38+,47,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Han Seuran,KOR,17,34+ 17. | 52 13. [16.43],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,34+,52,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Bacher Barbara,AUT,18,38+ 13. | 42+ 21. [17.15],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,38+,42+,2012-09-29_Atlanta_Lead_Women_Qualification.csv
Miller Delaney,USA,19,38+ 13. | 39 22. [17.55],IFSC Climbing Worldcup (L) - Atlanta (USA) 2012 ,742,2012,Atlanta,Lead,Women,Qualification,2012-09-29,/api/v1/category_rounds/2137/results,/api/v1/events/742/result/5,38+,39,2012-09-29_Atlanta_Lead_Women_Qualification.csv
