name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Kokorin Stanislav,,1,6.08,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.18,True,5.99,True,6.1,True,6.08,,
Vaitsekhovskii Evgenii,,2,6.29,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.35,True,5.94,True,5.88,False,6.29,,
Abdrakhmanov Sergey,,3,6.11,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,8.68,True,6.53,False,5.98,,,True,6.11
ASPAR ASPAR,,4,6.64,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,7.2,True,7.34,False,6.12,,,False,6.64
Boldyrev Danyil,,5,6.22,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.67,False,6.22,,,,,,
Shevchenko Arsenii,,6,6.33,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.46,False,6.33,,,,,,
Gontaryk Yaroslav,,7,7.71,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.34,False,7.71,,,,,,
Sinitcyn Sergei,,8,8.66,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,True,6.87,False,8.66,,,,,,
Zhong Lincai,,9,6.70,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,6.7,,,,,,,,
Vedenchuk Viacheslav,,10,7.07,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,7.07,,,,,,,,
Li Guangdong,,11,7.47,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,7.47,,,,,,,,
Gontero Leonardo,,12,7.75,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,7.75,,,,,,,,
Savelyev Artem,,13,8.36,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,8.36,,,,,,,,
Komosinski Jedrzej,,14,8.81,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,8.81,,,,,,,,
Yurko Oleksiy,,15,FALL,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,FALL,,,,,,,,
Zhang Yuhang,,16,FALL,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Men,Final,2012-10-12,/api/v1/category_rounds/2152/results,/api/v1/events/743/result/2,False,FALL,,,,,,,,
