name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Krasavina Mariia,RUS,1,8.390,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Gaidamakina Alina,RUS,2,8.550,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Levochkina  Yuliya,RUS,3,8.660,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Bruckner Esther,FRA,4,8.720,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Rudzinska Aleksandra,POL,5,8.920,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Polekhina Kseniya,RUS,6,9.190,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Kaplina Iuliia,RUS,7,9.360,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Prokopiuk Monika,POL,8,9.370,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Buczek Klaudia,POL,9,9.420,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Ropek Edyta,POL,10,9.560,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
Tita Supita,INA,11,9.670,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
He CuiLian,CHN,12,9.710,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
wang yang,CHN,13,10.010,"IFSC Climbing Worldcup (L,S) - Xining (CHN) 2012",743,2012,Xining,Speed,Women,Qualification,2012-10-12,/api/v1/category_rounds/2146/results,/api/v1/events/743/result/6,2012-10-12_Xining_Speed_Women_Qualification.csv
