name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Julian  Puigblanque Ramón ,ESP,1,Top,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,Top,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Schubert Jakob,AUT,2,50,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,50,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Min Hyunbin,KOR,3,48+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,48+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Amma Sachi,JPN,4,45+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,45+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
McColl Sean,CAN,5,44+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,44+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Romain Manuel,FRA,6,44+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,44+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Ghisolfi Stefano,ITA,6,44+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,44+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Midtboe Magnus,NOR,8,44+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,44+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Tauporn Thomas,GER,9,43+,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,43+,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
Desgranges Romain,FRA,10,42,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2012 ",744,2012,Mokpo,Lead,Men,Semi-Final,2012-10-20,/api/v1/category_rounds/2159/results,/api/v1/events/744/result/1,42,2012-10-20_Mokpo_Lead_Men_Semi-Final.csv
