name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Chereshneva Yana,RUS,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Coxsey Shauna,GBR,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Iakovleva Olga,RUS,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Kim Jain,KOR,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Le Neve Melissa,FRA,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Markovic Mina,SLO,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Noguchi Akiyo,JPN,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Oda Momoka,JPN,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Puccio Alex,USA,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
Saurwein Katharina,AUT,1,5t5 5b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2013",789,2013,Chongqing,Boulder,Women,Qualification,2013-03-22,/api/v1/category_rounds/2518/results,/api/v1/events/789/result/7,1,1,1,1,1,1,1,1,1,1,2013-03-22_Chongqing_Boulder_Women_Qualification.csv
