name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Sharafutdinov Dmitrii,RUS,1,4t4 4b4,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,1,1,1,1,1,1,1,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Tauporn Thomas,GER,2,4t14 4b12,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,5,5,5,5,3,1,1,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,3,3t3 4b4,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,X,1,1,1,1,1,1,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Lachat Cédric,SUI,4,3t5 4b5,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,X,1,2,2,2,1,1,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,5,3t5 4b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,1,1,1,1,3,3,X,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,5,3t5 4b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,2,1,2,1,1,1,X,3,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,7,3t6 4b5,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,X,1,3,2,1,1,2,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Gelmanov Rustam,RUS,8,3t6 4b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,2,1,X,2,2,2,2,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,9,3t6 4b7,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,1,1,1,1,4,4,X,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
Becan Klemen,SLO,10,3t8 4b7,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Men,Semi-Final,2013-04-26,/api/v1/category_rounds/2538/results,/api/v1/events/791/result/3,X,3,2,2,3,1,3,1,2013-04-26_Kitzbühel_Boulder_Men_Semi-Final.csv
