name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Coxsey Shauna,GBR,1,4t5 4b5,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,1,1,1,1,2,2,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Stöhr Anna,AUT,2,4t6 4b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,1,1,1,1,3,3,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Noguchi Akiyo,JPN,3,4t8 4b8,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,3,3,1,1,3,3,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Saurwein Katharina,AUT,4,4t12 4b7,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,4,3,4,2,3,1,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Markovic Mina,SLO,5,3t6 3b4,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,1,1,X,X,3,1,2,2,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Puccio Alex,USA,6,3t6 3b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,1,1,4,4,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Iakovleva Olga,RUS,7,3t9 4b13,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,4,4,4,3,3,2,2,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Shalagina Olga,UKR,8,2t3 4b8,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,2,2,1,1,X,4,X,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Le Neve Melissa,FRA,9,2t4 4b7,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,3,3,2,X,1,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Oda Momoka,JPN,10,2t4 3b4,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,2,1,X,X,X,2,2,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Wurm Juliane,GER,11,2t4 3b6,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,3,1,X,X,X,4,1,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Leslie-Wujastyk Mina,GBR,12,2t5 4b5,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,2,1,3,2,X,1,X,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Crane Leah,GBR,13,2t5 3b8,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,2,2,3,3,X,3,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Klingler Petra,SUI,14,2t7 3b12,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,2,2,X,6,5,4,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Johansen Therese,NOR,15,1t3 3b7,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,3,3,3,X,X,X,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Retschy Monika,GER,16,1t3 2b3,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,3,2,X,X,X,1,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Bacher Sabine,AUT,17,1t4 1b4,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,4,4,X,X,X,X,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Kobayashi Yuka,JPN,18,0t 1b1,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,1,X,X,X,X,X,X,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Gallyamova Anna,RUS,19,0t 1b3,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,X,X,X,3,X,X,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
Janicot Hélène,FRA,19,0t 1b3,IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013,791,2013,Kitzbühel,Boulder,Women,Semi-Final,2013-04-26,/api/v1/category_rounds/2535/results,/api/v1/events/791/result/7,X,X,X,X,X,3,X,X,2013-04-26_Kitzbühel_Boulder_Women_Semi-Final.csv
