name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Iakovleva Olga,RUS,1,5t10 5b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,1,1,2,1,2,2,4,1
Noguchi Akiyo,JPN,1,5t5 5b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,1,1,1,1,1,1,1,1
Coxsey Shauna,GBR,2,4t4 5b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,2,1,1,1,1,1,1
Markovic Mina,SLO,2,5t8 5b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,2,2,1,1,3,1,1,1
Stöhr Anna,AUT,2,4t4 5b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,2,1,1,1,1,1,1
Le Neve Melissa,FRA,3,4t4 5b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,1,1,1,1,X,1,1,1
Puccio Alex,USA,3,4t4 5b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,1,1,1,1,X,1,1,1
Oda Momoka,JPN,4,4t6 5b7,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,1,1,1,3,3,1,1
Leslie-Wujastyk Mina,GBR,5,4t6 5b8,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,2,1,1,1,X,3,2,2
Saurwein Katharina,AUT,5,4t6 5b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,3,1,1,1,X,2,1,1
Chevrier Anne-Laure,FRA,6,4t6 4b4,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,1,X,X,1,1,1,1,1,1
Onoe Aya,JPN,6,4t11 4b11,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,3,3,3,3,3,X,X,2,2
Bacher Sabine,AUT,7,3t3 4b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,2,1,1,X,X,1,1
Stotz Rebekka,SUI,7,4t9 5b8,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,3,2,X,2,2,2,3,1
Crane Leah,GBR,8,3t3 3b3,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,1,1,X,X,X,X,1,1
Shalagina Olga,UKR,8,4t11 4b11,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,X,1,1,4,4,4,4
Retschy Monika,GER,9,3t5 4b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,1,1,1,X,X,2,1
Sandoz Mélanie,FRA,9,3t5 4b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,1,2,2,X,X,X,2,1,1
Johansen Therese,NOR,10,2t2 5b10,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,4,X,1,X,3,1,1
Shemulinkina  Tatiana,RUS,10,3t6 4b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,X,2,2,X,1,2,1
Lavarda Jenny,ITA,11,3t7 4b12,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,3,X,X,1,1,X,5,3,3
Zijlstra Vera,NED,11,2t3 5b10,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,2,X,1,X,4,1,1
Avezou Cecile,FRA,12,2t5 3b8,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,X,X,3,X,X,3,3
Caulier Chloe,BEL,12,2t3 3b3,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,X,X,1,X,X,2,1
De Marco Annalisa,ITA,13,2t5 2b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,4,4,X,X,X,X,X,X,1,1
Hohkraut Mateja,SLO,13,2t4 3b3,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,1,X,X,X,1,X,X,2,1
Hodann Anja,SWE,14,2t4 3b4,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,1,X,X,X,2,X,X,2,1
Klingler Petra,SUI,14,2t4 3b4,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,2,2,X,X,X,1,X,X,2,1
Tracy Michaela,GBR,14,2t6 3b8,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,2,X,X,X,3,X,X,3,3
Kremer Valeri,ISR,15,2t6 2b4,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,1,X,X,X,X,X,X,3,3
Laitinen Anna,FIN,16,1t1 3b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,X,X,3,X,X,X,1
Merrick Diane,GBR,16,1t1 3b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,X,X,X,2,X,2,X,X,1,1
Wurm Juliane,GER,16,2t5 4b5,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,2,X,1,X,X,4,1
Ruzickova Petra,CZE,17,2t5 3b4,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,2,X,X,X,1,X,X,2,1
Buczek Sylwia,POL,18,2t5 3b6,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,3,1,X,X,X,4,X,X,2,1
Pidgeon Thomasina,CAN,18,1t1 2b2,IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013,792,2013,Log-Dragomer,Boulder,Women,Qualification,2013-05-11,/api/v1/category_rounds/2540/results,/api/v1/events/792/result/7,1,1,X,X,X,1,X,X,X,X
