name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Kaplina Iuliia,RUS,1,8.590,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Gaidamakina Alina,RUS,2,8.630,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Krasavina Mariia,RUS,3,8.830,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Rudzinska Aleksandra,POL,4,9.080,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Buczek Klaudia,POL,5,9.190,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Heitz Margot,FRA,6,9.200,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Levochkina  Yuliya,RUS,7,9.270,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Jaubert Anouck,FRA,8,9.490,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Savisko Anastasiya,UKR,9,9.700,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Golikova Anastasiia,RUS,10,9.820,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Pichler Stefanie,AUT,10,9.820,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Kuznetsova Tamara,KAZ,12,9.840,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Marenych Alla,UKR,13,9.880,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Elmer Alexandra,AUT,14,10.090,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Brozek Anna,POL,15,11.090,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
Iskakova Aliya,KAZ,16,15.070,IFSC Climbing Worldcup (S) - Baku (AZE) 2013,796,2013,Baku,Speed,Women,Qualification,2013-06-22,/api/v1/category_rounds/2564/results,/api/v1/events/796/result/6,2013-06-22_Baku_Speed_Women_Qualification.csv
