name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Markovic Mina,SLO,1,59+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,59+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Röck Magdalena,AUT,1,59+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,59+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Oda Momoka,JPN,3,56+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,56+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Fakhritdinova Dinara,RUS,4,56+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,56+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Malamid Evgeniia,RUS,5,53,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,53,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Kim Jain,KOR,6,52+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,52+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Janicot Hélène,FRA,7,51+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,51+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Pilz Jessica,AUT,8,51+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,51+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Brumagne Mathilde,BEL,9,49+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,49+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Stotz Rebekka,SUI,10,48+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,48+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Sustersic Tina,SLO,11,48,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,48,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Chereshneva Yana,RUS,12,46,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,46,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Posch Katharina,AUT,13,45+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,45+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Hafsaas Tina Johnsen,NOR,14,44+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,44+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Vidmar Maja,SLO,15,44,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,44,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Saurwein Katharina,AUT,16,43+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,43+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Bacher Barbara,AUT,17,38+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,38+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Stütz Christina,AUT,18,38+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,38+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Kobayashi Yuka,JPN,19,36+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,36+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Sigrist Manuela,SUI,20,36+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,36+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
van Bergen Nikki,NED,21,36,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,36,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Kazbekova Ievgeniia,UKR,22,35+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,35+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Baehr Hannah,GER,23,35+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,35+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Kadic Katja,SLO,24,31+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,31+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Lenardic Jera,SLO,25,30+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,30+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Jubes Angarita Eilleen,ESP,26,28+,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,28+,2013-08-09_Imst_Lead_Women_Semi-Final.csv
Bertram Denise,GER,27,25,IFSC Climbing Worldcup (L) - Imst (AUT) 2013,798,2013,Imst,Lead,Women,Semi-Final,2013-08-09,/api/v1/category_rounds/2575/results,/api/v1/events/798/result/5,25,2013-08-09_Imst_Lead_Women_Semi-Final.csv
