name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Markovic Mina,SLO,1,Top,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,Top,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Röck Magdalena,AUT,2,51+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,51+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Kim Jain,KOR,3,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,49,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Oda Momoka,JPN,3,49,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,49,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Fakhritdinova Dinara,RUS,5,42+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,42+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Posch Katharina,AUT,5,42+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,42+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
van Bergen Nikki,NED,7,42+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,42+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Ota Risa,JPN,7,42+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,42+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Noguchi Akiyo,JPN,9,41+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,41+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Janicot Hélène,FRA,10,41+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,41+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Bacher Barbara,AUT,11,41+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,41+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Chereshneva Yana,RUS,12,39+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,39+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Kobayashi Yuka,JPN,13,34+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,34+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
RENQING LaMu,CHN,14,34+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,34+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
Saurwein Katharina,AUT,15,33+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,33+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
YOSHIMURA  Moe,JPN,16,31,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,31,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
RenZeng WangMu,CHN,17,20,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,20,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
JIANG Rong,CHN,18,18+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,18+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
PAN Xuhua,CHN,19,17+,"IFSC Climbing Worldcup (L,S) - Wujiang (CHN) 2013",805,2013,Wujiang,Lead,Women,Semi-Final,2013-10-19,/api/v1/category_rounds/2621/results,/api/v1/events/805/result/5,17+,2013-10-19_Wujiang_Lead_Women_Semi-Final.csv
