name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Dzienski Marcin,POL,1,6.310,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Hroza Libor,CZE,2,6.320,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Zhong QiXin,CHN,3,6.340,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Vaitsekhovskii Evgenii,RUS,4,6.350,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Mawem Bassa,FRA,5,6.380,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Kokorin Stanislav,RUS,6,6.400,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Gontaryk Yaroslav,UKR,7,6.570,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Boldyrev Danyil,UKR,8,6.620,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Poliakov Anton,RUS,9,6.730,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Gontero Leonardo,ITA,10,6.750,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Sinitcyn Sergei,RUS,11,6.760,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Jaelolo Aspar,INA,12,6.830,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Shevchenko Arsenii,RUS,12,6.830,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Komosinski Jedrzej,POL,14,7.180,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Zhong Lincai,CHN,15,7.570,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
LE COUSTER Yoann,FRA,16,7.950,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Khaibullin Rishat,KAZ,17,8.050,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
Stewart-Patterson Robert,CAN,18,8.610,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2014 ",849,2014,Chongqing,Speed,Men,Qualification,2014-04-26,/api/v1/category_rounds/2992/results,/api/v1/events/849/result/2,2014-04-26_Chongqing_Speed_Men_Qualification.csv
