name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Boldyrev Danyil,,1,6.09,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.37,True,6.26,True,6.11,True,6.09,,,2014-05-03_Baku_Speed_Men_Final.csv
Vaitsekhovskii Evgenii,,2,7.30,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.41,True,6.54,True,6.3,False,7.3,,,2014-05-03_Baku_Speed_Men_Final.csv
Zhong QiXin,,3,6.39,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.78,True,6.66,False,6.91,,,True,6.39,2014-05-03_Baku_Speed_Men_Final.csv
Mawem Bassa,,4,10.41,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.39,True,WILDCARD,False,6.35,,,False,10.41,2014-05-03_Baku_Speed_Men_Final.csv
Hroza Libor,,5,7.74,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.83,False,7.74,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Kokorin Stanislav,,6,FALSE START,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,WILDCARD,False,FALSE START,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Gontaryk Yaroslav,,7,FALL,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.55,False,FALL,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Shevchenko Arsenii,,8,FALL,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,True,6.63,False,FALL,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Swirk Lukasz,,9,6.66,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,6.66,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Gontero Leonardo,,10,6.69,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,6.69,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Dzienski Marcin,,11,6.81,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,6.81,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Komosinski Jedrzej,,12,6.97,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,6.97,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Deulin Vladislav,,13,7.04,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,7.04,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Alipour Shenazandifard Reza,,14,7.48,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,7.48,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Poliakov Anton,,15,7.97,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,7.97,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
Sinitcyn Sergei,,16,FALSE START,"IFSC Climbing Worldcup (B,S) - Baku (AZE) 2014",850,2014,Baku,Speed,Men,Final,2014-05-03,/api/v1/category_rounds/3003/results,/api/v1/events/850/result/2,False,FALSE START,,,,,,,,,2014-05-03_Baku_Speed_Men_Final.csv
