name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Glairon Mondet Guillaume,FRA,1,4t5 4b5,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,2,2,1,1,1,1,1,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Fischhuber Kilian,AUT,2,4t7 4b7,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,3,3,1,1,2,2,1,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Ondra Adam,CZE,3,4t8 4b5,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,3,2,1,1,2,1,2,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Piccolruaz Michael,ITA,4,4t8 4b7,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,4,4,1,1,2,1,1,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Sharafutdinov Dmitrii,RUS,5,4t9 4b9,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,4,4,1,1,2,2,2,2,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Gelmanov Rustam,RUS,6,3t5 4b6,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,3,3,1,1,1,1,X,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,7,3t5 4b7,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,3,3,1,1,1,1,X,2,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,8,3t6 4b7,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,4,4,1,1,1,1,X,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Caleyron Thomas,FRA,9,3t6 3b6,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,X,X,1,1,4,4,1,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,10,3t7 4b5,IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2014 ,852,2014,Innsbruck,Boulder,Men,Semi-Final,2014-05-16,/api/v1/category_rounds/3014/results,/api/v1/events/852/result/3,4,2,1,1,X,1,2,1,2014-05-16_Innsbruck_Boulder_Men_Semi-Final.csv
