name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Gelmanov Rustam,RUS,1,5t10 5b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,2,1,1,1,5,5,1,1,1,1
McColl Sean,CAN,2,5t11 5b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,4,1,1,1,3,3,2,1,1,1
Glairon Mondet Guillaume,FRA,3,5t20 5b13,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,5,1,2,1,9,9,3,1,1,1
Fischhuber Kilian,AUT,4,4t6 5b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,1,1,1,1,3,3,1,1
Hori Tsukuru,JPN,5,4t8 5b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,4,4,1,1,2,2,1,1
Danker Stefan,GER,6,4t9 5b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,2,1,X,1,1,1,5,5,1,1
Farrell Thomas,AUS,7,4t10 5b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,3,1,X,1,1,1,3,3,3,1
Bonder Jeremy,FRA,8,4t11 5b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,3,1,X,1,3,3,2,1,3,1
Rugens Rolands,LVA,9,4t11 5b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,4,1,2,1,X,2,3,3,2,2
Kruder Jernej,SLO,10,4t12 5b11,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,2,1,5,4,1,1,4,4
Hojer Jan,GER,11,4t12 4b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,3,1,3,1,4,4,2,1,X,X
Kassay James,AUS,12,4t14 4b6,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,9,1,1,1,3,3,1,1,X,X
Holowach Jason,CAN,13,4t17 5b14,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,5,1,X,3,3,2,4,4,5,4
Verhoeven Jorg,NED,14,3t5 5b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,1,1,2,2,X,1,2,2
O'Rourke Michael,USA,15,3t7 5b8,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,2,1,3,3,X,1,2,2
Chon Jongwon,KOR,16,3t8 5b10,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,X,1,5,5,1,1,2,2
Landman Tyler,GBR,17,2t3 4b4,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,X,1,1,1,X,X,2,1
Vorotnikov Vasya,USA,18,2t4 4b5,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,X,1,1,1,3,2,X,X
D'Anastasio Robert,USA,19,2t5 5b11,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,X,1,3,3,X,4,2,2
Fujii Kokoro,JPN,20,2t6 5b6,IFSC Climbing Worldcup (B) - Toronto (CAN) 2014 ,853,2014,Toronto,Boulder,Men,Qualification,2014-05-31,/api/v1/category_rounds/3019/results,/api/v1/events/853/result/3,X,1,X,1,X,1,5,2,1,1
