name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
Noguchi Akiyo,JPN,1,5t8 5b8,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,1,1,1,1,2,2,1,1,3,3
Coxsey Shauna,GBR,2,4t5 4b5,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,1,1,2,2,1,1,1,1,X,X
Sa Sol,KOR,3,4t11 4b7,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,2,2,5,3,1,1,3,1,X,X
Stöhr Anna,AUT,4,4t12 5b13,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,X,3,3,2,1,1,2,1,6,6
Klingler Petra,SUI,5,3t5 3b3,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,2,1,X,X,2,1,1,1,X,X
Nonaka Miho,JPN,6,3t5 3b4,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,3,2,X,X,1,1,1,1,X,X
Wurm Juliane,GER,7,3t6 3b3,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,4,1,X,X,1,1,1,1,X,X
Onoe Aya,JPN,8,2t3 3b3,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,2,1,X,X,1,1,X,1,X,X
Fakhritdinova Dinara,RUS,9,2t3 3b6,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,2,1,X,X,1,1,X,4,X,X
Saurwein Katharina,AUT,10,2t4 3b5,"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Boulder,Women,Qualification,2014-06-20,/api/v1/category_rounds/3031/results,/api/v1/events/855/result/7,3,2,X,X,1,1,X,2,X,X
