name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Desgranges Romain,FRA,1,Top 1. | Top 1. [3.16],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,Top,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Julian  Puigblanque Ramón ,ESP,1,Top 1. | Top 1. [3.16],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,Top,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Schubert Jakob,AUT,3,39 5. | Top 1. [4.47],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,39,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Supper Gautier,FRA,4,Top 1. | 36+ 9. [5.00],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,Top,36+,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Min Hyunbin,KOR,5,38+ 6. | Top 1. [5.10],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,38+,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Skofic Domen,SLO,6,36+ 11. | Top 1. [6.63],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,36+,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
McColl Sean,CAN,7,36 12. | Top 1. [7.07],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,36,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Ondra Adam,CZE,8,Top 1. | 30 19. [7.16],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,Top,30,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Korenaga Keiichiro,JPN,9,38+ 6. | 36+ 9. [8.06],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,38+,36+,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Chernikov Mikhail,RUS,10,31+ 19. | Top 1. [8.83],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,31+,Top,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Midtboe Magnus,NOR,11,37 10. | 37 8. [8.94],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,37,37,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Ghisolfi Stefano,ITA,12,37+ 8. | 32+ 14. [10.91],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,37+,32+,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Matsushima Akito,JPN,13,36 12. | 36+ 9. [11.18],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,36,36+,2014-06-20_Haiyang_Lead_Men_Qualification.csv
Romain Manuel,FRA,14,37+ 8. | 30 19. [13.20],"IFSC Climbing Worldcup (L, B, S) - Haiyang (CHN) 2014 ",855,2014,Haiyang,Lead,Men,Qualification,2014-06-20,/api/v1/category_rounds/3036/results,/api/v1/events/855/result/1,37+,30,2014-06-20_Haiyang_Lead_Men_Qualification.csv
