name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Chon Jongwon,KOR,1,5t10 5b9,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,2,2,3,3,2,2,2,1,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Glairon Mondet Guillaume,FRA,1,5t5 5b5,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,1,1,1,1,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
de Leeuw Nicky,NED,2,5t15 5b13,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,6,6,3,3,3,2,2,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Kassay James,AUS,2,5t8 5b5,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,3,1,2,1,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,2,5t8 5b5,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,1,1,1,1,4,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Tauporn Thomas,GER,2,5t8 5b5,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,4,1,1,1,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Gelmanov Rustam,RUS,3,4t6 5b5,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,2,1,2,1,X,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Hojer Jan,GER,4,4t6 5b6,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,2,1,2,1,X,2,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Caleyron Thomas,FRA,5,5t9 5b7,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,1,1,2,1,4,3,1,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
Julien Stéphan,FRA,5,4t8 5b7,IFSC Climbing Worldcup (B) - Laval (FRA) 2014,856,2014,Laval,Boulder,Men,Qualification,2014-06-27,/api/v1/category_rounds/3047/results,/api/v1/events/856/result/3,1,1,4,3,1,1,2,1,X,1,2014-06-27_Laval_Boulder_Men_Qualification.csv
