name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Schubert Jakob,AUT,1,40+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,40+
Desgranges Romain,FRA,2,39+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,39+
Julian  Puigblanque Ramón ,ESP,3,32+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,32+
Ballet Thomas,FRA,4,32+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,32+
Skofic Domen,SLO,5,29,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,29
Midtboe Magnus,NOR,6,28+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28+
Primozic Urban,SLO,7,28+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28+
Amma Sachi,JPN,8,28,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28
McColl Sean,CAN,9,28,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28
Fakirianov Dmitrii,RUS,10,28,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28
Matsushima Akito,JPN,11,28,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,28
Romain Manuel,FRA,12,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,27+
Halenke Sebastian,GER,13,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,27+
Levier Alban,FRA,14,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,27+
Park Jihwan,KOR,15,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,27+
Min Hyunbin,KOR,16,26,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,26
Puman Hannes,SWE,17,26,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Men,Semi-Final,2014-07-10,/api/v1/category_rounds/3056/results,/api/v1/events/857/result/1,26
