name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Kim Jain,KOR,1,47,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,47
Markovic Mina,SLO,2,47,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,47
Röck Magdalena,AUT,3,40+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,40+
Ota Risa,JPN,4,40+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,40+
Verhoeven Anak,BEL,5,40,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,40
Fakhritdinova Dinara,RUS,6,39+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,39+
Noguchi Akiyo,JPN,7,39,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,39
Durif Charlotte,FRA,8,39,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,39
Romain Salomé,FRA,9,36+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36+
Pilz Jessica,AUT,10,36+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36+
Oda Momoka,JPN,11,36+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36+
Vidmar Maja,SLO,12,36+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36+
Posch Katharina,AUT,13,36,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36
Malamid Evgeniia,RUS,14,36,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,36
Janicot Hélène,FRA,15,34,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,34
Bacher Barbara,AUT,16,30+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,30+
Becerra Mathilde,FRA,17,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,27+
Lavarda Jenny,ITA,18,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,27+
van Bergen Nikki,NED,19,27+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",857,2014,Chamonix,Lead,Women,Semi-Final,2014-07-10,/api/v1/category_rounds/3051/results,/api/v1/events/857/result/5,27+
