name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,Route_2,source_file
Kim Jain,KOR,1,Top 1. | Top 1. [2.35],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,Top,2014-08-01_Imst_Lead_Women_Qualification.csv
Verhoeven Anak,BEL,2,Top 1. | 38+ 2. [3.32],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,38+,2014-08-01_Imst_Lead_Women_Qualification.csv
Pilz Jessica,AUT,3,Top 1. | 35+ 4. [4.69],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,35+,2014-08-01_Imst_Lead_Women_Qualification.csv
Miller Delaney,USA,4,Top 1. | 35 5. [5.24],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,35,2014-08-01_Imst_Lead_Women_Qualification.csv
Markovic Mina,SLO,5,Top 1. | 33+ 6. [5.98],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,33+,2014-08-01_Imst_Lead_Women_Qualification.csv
Röck Magdalena,AUT,6,Top 1. | 32+ 8. [6.63],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,32+,2014-08-01_Imst_Lead_Women_Qualification.csv
Posch Katharina,AUT,7,39+ 15. | 36+ 3. [6.82],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,39+,36+,2014-08-01_Imst_Lead_Women_Qualification.csv
Fakhritdinova Dinara,RUS,8,Top 1. | 32 9. [7.42],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,32,2014-08-01_Imst_Lead_Women_Qualification.csv
Oda Momoka,JPN,8,Top 1. | 32 9. [7.42],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,32,2014-08-01_Imst_Lead_Women_Qualification.csv
Malamid Evgeniia,RUS,10,Top 1. | 29+ 13. [8.62],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,29+,2014-08-01_Imst_Lead_Women_Qualification.csv
Becerra Mathilde,FRA,11,42 12. | 33+ 6. [8.83],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,42,33+,2014-08-01_Imst_Lead_Women_Qualification.csv
Ota Risa,JPN,12,Top 1. | 29 15. [9.08],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,Top,29,2014-08-01_Imst_Lead_Women_Qualification.csv
Janicot Hélène,FRA,13,39+ 15. | 32 9. [12.45],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,39+,32,2014-08-01_Imst_Lead_Women_Qualification.csv
Chanourdie Julia,FRA,14,38+ 17. | 30+ 12. [14.28],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,38+,30+,2014-08-01_Imst_Lead_Women_Qualification.csv
Schranz Christine,AUT,15,42+ 11. | 28+ 16. [14.65],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,42+,28+,2014-08-01_Imst_Lead_Women_Qualification.csv
Buhrfeind Claire,USA,16,32 19. | 29+ 13. [16.02],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,32,29+,2014-08-01_Imst_Lead_Women_Qualification.csv
Lavarda Jenny,ITA,17,41+ 13. | 28+ 16. [16.22],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,41+,28+,2014-08-01_Imst_Lead_Women_Qualification.csv
Korherr Solveig,GER,18,41+ 13. | 22+ 27. [19.44],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,41+,22+,2014-08-01_Imst_Lead_Women_Qualification.csv
Ebner Andrea,ITA,19,31+ 20. | 28+ 16. [21.18],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,31+,28+,2014-08-01_Imst_Lead_Women_Qualification.csv
Amoros Solène,FRA,20,31 27. | 28+ 16. [23.37],IFSC Climbing Worldcup (L) - Imst (AUT) 2014 ,859,2014,Imst,Lead,Women,Qualification,2014-08-01,/api/v1/category_rounds/3064/results,/api/v1/events/859/result/5,31,28+,2014-08-01_Imst_Lead_Women_Qualification.csv
