name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone,source_file
Fischhuber Kilian,AUT,1,4t8 4b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,2,2,3,3,1,1,2,1,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
McColl Sean,CAN,1,5t9 5b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,2,2,1,1,4,2,1,1,1,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Hojer Jan,GER,2,4t9 5b11,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,1,1,5,5,1,1,2,2,X,2,2014-08-21_Munich_Boulder_Men_Qualification.csv
Tauporn Thomas,GER,2,5t11 5b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,1,1,2,1,6,3,1,1,1,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Kruder Jernej,SLO,3,4t7 5b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,2,1,1,2,1,1,1,3,2,2014-08-21_Munich_Boulder_Men_Qualification.csv
Stranik Martin,CZE,3,4t13 5b15,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,3,3,6,6,2,2,2,1,X,3,2014-08-21_Munich_Boulder_Men_Qualification.csv
Levier Alban,FRA,4,4t7 5b9,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,4,3,1,1,1,2,2,1,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Sugimoto Rei,JPN,4,3t6 4b7,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,1,1,X,X,3,2,X,2,2,2,2014-08-21_Munich_Boulder_Men_Qualification.csv
Holowach Jason,CAN,5,3t8 3b3,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,6,1,X,X,1,1,1,1,X,X,2014-08-21_Munich_Boulder_Men_Qualification.csv
Sharafutdinov Dmitrii,RUS,5,4t8 4b4,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,X,1,1,3,1,2,1,2,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Conrad Mathias,GER,6,3t10 3b9,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,X,X,X,2,1,2,2,6,6,2014-08-21_Munich_Boulder_Men_Qualification.csv
Glairon Mondet Guillaume,FRA,6,4t8 4b6,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,X,X,2,2,3,1,2,2,1,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
Ondra Adam,CZE,7,4t11 4b9,IFSC Climbing World Championship (B) - Munich (GER) 2014,860,2014,Munich,Boulder,Men,Qualification,2014-08-21,/api/v1/category_rounds/3073/results,/api/v1/events/860/result/3,5,5,3,2,X,X,1,1,2,1,2014-08-21_Munich_Boulder_Men_Qualification.csv
