name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,source_file
Hroza Libor,CZE,1,5.760,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Zhong QiXin,CHN,2,5.950,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Dzienski Marcin,POL,3,6.140,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Mawem Bassa,FRA,3,6.140,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Kokorin Stanislav,RUS,5,6.160,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Vaitsekhovskii Evgenii,RUS,6,6.250,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Santoni Alessandro,ITA,7,6.300,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Boldyrev Danyil,UKR,8,6.320,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Shikov Aleksandr,RUS,9,6.410,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Gontaryk Yaroslav,UKR,10,6.530,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Shevchenko Arsenii,RUS,11,6.570,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Deulin Vladislav,RUS,12,6.620,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Gontero Leonardo,ITA,13,6.630,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Komosinski Jedrzej,POL,14,6.670,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
Nambot Quentin,FRA,15,6.690,IFSC Climbing Worldcup (S) - Arco (ITA) 2014 ,861,2014,Arco,Speed,Men,Qualification,2014-08-30,/api/v1/category_rounds/3078/results,/api/v1/events/861/result/2,2014-08-30_Arco_Speed_Men_Qualification.csv
