name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
Dzienski Marcin,,1,6.23,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.416,True,6.281,True,6.287,True,6.233,,
Hroza Libor,,2,FALL,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.433,True,6.355,True,6.281,False,FALL,,
Boldyrev Danyil,,3,5.98,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.261,True,6.112,False,6.942,,,True,5.989
Mawem Bassa,,4,6.07,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.162,True,6.026,False,7.982,,,False,6.072
Vaitsekhovskii Evgenii,,5,6.282,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.669,False,6.282,,,,,,
Shevchenko Arsenii,,6,6.58,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.774,False,6.583,,,,,,
Kokorin Stanislav,,7,7.13,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.628,False,7.13,,,,,,
Stewart-Patterson Robert,,8,8.81,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,True,6.671,False,8.812,,,,,,
Nambot Quentin,,9,6.81,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,6.814,,,,,,,,
Shilov Aleksandr,,10,7.11,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,7.119,,,,,,,,
Chae Sungjoon,,11,7.29,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,7.29,,,,,,,,
KU Seongyeop,,12,7.76,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,7.767,,,,,,,,
Cho Seungwoon,,13,9.57,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,9.571,,,,,,,,
Choi Seungbin,,14,9.96,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,9.969,,,,,,,,
Kim Hyunjae,,15,9.97,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,9.979,,,,,,,,
Kim Hongil,,16,12.43,"IFSC Climbing Worldcup (L,S) - Mokpo (KOR) 2014 ",863,2014,Mokpo,Speed,Men,Final,2014-10-11,/api/v1/category_rounds/3099/results,/api/v1/events/863/result/2,False,12.435,,,,,,,,
