name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Bonder Jeremy,FRA,1,2t3 3b4,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,2,1,X,2,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Levier Alban,FRA,1,2t3 3b4,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,2,2,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Ondra Adam,CZE,3,2t3 3b10,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,8,2,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Chon Jongwon,KOR,4,2t3 2b2,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,2,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Fujii Kokoro,JPN,4,2t3 2b2,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,1,1,X,X,2,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Coleman Nathaniel,USA,6,2t5 3b5,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,4,3,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Cornu Manuel,FRA,6,2t5 3b5,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,4,2,X,2,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Mecherzynski-Wiktor Andrzej,POL,8,1t1 4b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,3,X,1,X,4,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Conrad Mathias,GER,9,1t1 4b11,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,2,X,1,X,7,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,10,1t1 3b4,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,2,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Kruder Jernej,SLO,11,1t1 3b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,5,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Skofic Domen,SLO,11,1t1 3b7,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,5,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Schubert Jakob,AUT,13,1t1 3b9,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,7,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Mawem Mickael,FRA,14,1t1 2b2,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Ogata Yoshiyuki,JPN,14,1t1 2b2,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
Scarperi Stefan,ITA,14,1t1 2b2,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,X,1,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
McColl Sean,CAN,17,1t1 2b3,IFSC Climbing Worldcup (B) - Toronto (CAN) 2015,898,2015,Toronto,Boulder,Men,Semi-Final,2015-05-30,/api/v1/category_rounds/3418/results,/api/v1/events/898/result/3,X,X,X,2,X,X,1,1,2015-05-30_Toronto_Boulder_Men_Semi-Final.csv
