name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone
Hojer Jan,GER,1,4t4 4b4,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,1,1,1,1,1,1
Chon Jongwon,KOR,2,4t6 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,2,2,1,1,2,2
Mecherzynski-Wiktor Andrzej,POL,2,4t6 4b6,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,3,3,1,1,1,1
Bonder Jeremy,FRA,4,4t9 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,4,4,1,1,3,1
McColl Sean,CAN,4,4t9 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,4,4,1,1,3,1
Gelmanov Rustam,RUS,6,4t9 4b9,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,6,6,1,1,1,1
Hori Tsukuru,JPN,6,4t9 4b9,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,6,6,1,1,1,1
Ondra Adam,CZE,8,4t10 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,7,4,1,1,1,1
Sugimoto Rei,JPN,9,4t10 4b10,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,2,2,3,3,4,4,1,1
Sharafutdinov Dmitrii,RUS,10,4t11 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,6,1,1,1,3,2
Fujii Kokoro,JPN,11,4t11 4b11,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,5,5,3,3,2,2
Baratzadeh Gholamali,IRI,12,3t4 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,2,2,1,1,1,1,X,1
Kassay James,AUS,13,3t5 4b14,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,2,2,X,10,1,1,2,1
Levier Alban,FRA,14,3t6 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,4,4,1,1,X,1
Narasaki Tomoa,JPN,15,3t6 4b8,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,2,2,2,2,2,2,X,2
Piccolruaz Michael,ITA,16,3t7 4b7,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,1,1,5,1,1,1,X,4
Difelice Andre,CAN,17,3t7 3b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,3,3,X,X,1,1,3,1
Coleman Nathaniel,USA,18,2t3 4b5,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Boulder,Men,Semi-Final,2015-06-20,/api/v1/category_rounds/3432/results,/api/v1/events/900/result/3,X,2,2,1,1,1,X,1
