name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
Hroza Libor,CZE,1,5.610,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Zhong QiXin,CHN,2,6.190,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Boldyrev Danyil,UKR,3,6.210,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Mawem Bassa,FRA,3,6.210,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Alipourshenazandifar Reza,IRI,5,6.240,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Dzienski Marcin,POL,6,6.320,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Maimuratov Amir,KAZ,7,6.330,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Vaitsekhovskii Evgenii,RUS,8,6.370,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
Shilov Aleksandr,RUS,9,6.480,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
LIN PengHui,CHN,10,6.640,"IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2015",900,2015,Chongqing,Speed,Men,Qualification,2015-06-20,/api/v1/category_rounds/3434/results,/api/v1/events/900/result/2
