name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1,source_file
Fakirianov Dmitrii,RUS,1,50+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,50+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Desgranges Romain,FRA,2,49+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,49+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Supper Gautier,FRA,3,47+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,47+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Ondra Adam,CZE,4,46+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,46+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Schubert Jakob,AUT,5,46+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,46+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Ghisolfi Stefano,ITA,6,42,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,42,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Julian  Puigblanque Ramón ,ESP,7,41,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,41,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Halenke Sebastian,GER,8,39+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,39+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Skofic Domen,SLO,9,38+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,38+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
Joannes Thomas,FRA,10,38+,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Lead,Men,Semi-Final,2015-07-10,/api/v1/category_rounds/3452/results,/api/v1/events/902/result/1,38+,2015-07-10_Chamonix_Lead_Men_Semi-Final.csv
