name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time,source_file
Jaubert Anouck,,1,WILDCARD,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,7.93,True,7.86,True,WILDCARD,True,WILDCARD,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Kaplina Iuliia,,2,FALSE START,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.69,True,7.74,True,7.53,False,FALSE START,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Krasavina Mariia,,3,8.02,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,7.88,True,9.08,False,FALSE START,,,True,8.029,2015-07-10_Chamonix_Speed_Women_Final.csv
Tsyganova Anna,,4,10.54,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.47,True,8.07,False,7.92,,,False,10.54,2015-07-10_Chamonix_Speed_Women_Final.csv
Ropek Edyta,,5,8.13,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.1,False,8.13,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Levochkina  Yuliya,,6,8.23,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.32,False,8.23,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Miroslaw Aleksandra,,7,9.50,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.71,False,9.5,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Timofeeva Elena,,8,9.81,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,True,8.42,False,9.81,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Buczek Klaudia,,9,8.46,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,8.46,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Marenych Alla,,10,8.62,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,8.62,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Lugovenko Yana,,11,8.87,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,8.87,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Sarisson Aurelia,,12,9.03,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,9.03,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Gaidamakina Alina,,13,9.06,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,9.06,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Motovilova Svetlana,,14,9.47,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,9.47,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Chudziak Patrycja,,15,9.89,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,9.89,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
Brozek Anna,,16,12.22,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",902,2015,Chamonix,Speed,Women,Final,2015-07-10,/api/v1/category_rounds/3450/results,/api/v1/events/902/result/6,False,12.22,,,,,,,,,2015-07-10_Chamonix_Speed_Women_Final.csv
