name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,source_file
Gelmanov Rustam,RUS,1,3t7 3b5,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,4,2,X,X,1,1,2,2,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Chon Jongwon,KOR,2,3t7 3b6,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,4,3,X,X,2,2,1,1,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Rubtsov  Aleksei,RUS,3,2t7 2b5,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,4,2,X,X,X,X,3,3,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Stranik Martin,CZE,4,1t1 2b2,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,1,X,X,X,X,1,1,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Hojer Jan,GER,5,1t2 2b4,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,2,1,X,X,X,X,X,3,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Topishko Sergii,UKR,6,1t4 3b10,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,2,4,4,X,X,X,4,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Averdunk Alexander,GER,7,1t4 2b7,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,3,X,X,X,X,4,4,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Ondra Adam,CZE,8,1t4 2b8,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,4,X,X,X,X,4,4,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Sugimoto Rei,JPN,8,1t4 2b8,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,X,4,4,X,4,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Piccolruaz Michael,ITA,10,0t 2b4,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,2,X,2,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Coleman Nathaniel,USA,11,0t 2b6,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,3,X,X,X,X,X,3,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Sharafutdinov Dmitrii,RUS,12,0t 2b10,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,8,X,X,X,2,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Unger Simon,GER,13,0t 2b11,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,3,X,8,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Glairon Mondet Guillaume,FRA,14,0t 1b1,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,1,X,X,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Timonov Vadim,RUS,14,0t 1b1,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,1,X,X,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Mecherzynski-Wiktor Andrzej,POL,16,0t 1b2,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,X,X,X,X,2,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Conrad Mathias,GER,17,0t 0b,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,X,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Lopez Mateos Eric ,ESP,17,0t 0b,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,X,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
Skofic Domen,SLO,17,0t 0b,IFSC Climbing Worldcup (B) - Munich (GER) 2015,905,2015,Munich,Boulder,Men,Semi-Final,2015-08-14,/api/v1/category_rounds/3472/results,/api/v1/events/905/result/3,X,X,X,X,X,X,X,X,2015-08-14_Munich_Boulder_Men_Semi-Final.csv
