name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Route_1
Desgranges Romain,FRA,1,55+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,55+
Skofic Domen,SLO,2,52+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,52+
Supper Gautier,FRA,3,52,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,52
Halenke Sebastian,GER,4,51,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,51
Ondra Adam,CZE,5,49+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,49+
Ghisolfi Stefano,ITA,6,49+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,49+
Schubert Jakob,AUT,7,49+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,49+
Vettorata Francesco,ITA,8,49+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,49+
Midtboe Magnus,NOR,9,46+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,46+
Julian  Puigblanque Ramón ,ESP,10,46+,IFSC Climbing Worldcup (L) - Stavanger (NOR) 2015,906,2015,Stavanger,Lead,Men,Semi-Final,2015-08-21,/api/v1/category_rounds/3478/results,/api/v1/events/906/result/1,46+
